name,position,minutes_played,passes_completed,passes_total,shots,xg,ball_recoveries,pressures,dribbles_won,passes_completed_p90,passes_total_p90,shots_p90,xg_p90,ball_recoveries_p90,pressures_p90,dribbles_won_p90
Alessio Tacchinardi,Left Defensive Midfield,91,8.0,12.0,0.0,0.0,0.0,7.0,0.0,7.91,11.87,0.0,0.0,0.0,6.92,0.0
Alex Fernandez Sanchez,Center Defensive Midfield,91,10.0,12.0,0.0,0.0,1.0,4.0,0.0,9.89,11.87,0.0,0.0,0.99,3.96,0.0
Alex Sandro Mendonça Dos Santos,Right Back,93,16.0,24.0,0.0,0.0,3.0,17.0,0.0,15.48,23.23,0.0,0.0,2.9,16.45,0.0
Alexander Isak,Center Forward,321,53.0,70.0,11.0,1.895649618,11.0,47.0,6.0,14.86,19.63,3.08,0.53,3.08,13.18,1.68
Alexander Kerzhakov,Right Center Forward,166,11.0,12.0,1.0,0.07114711,2.0,16.0,0.0,5.96,6.51,0.54,0.04,1.08,8.67,0.0
Alexander Mesa Travieso,Center Forward,93,4.0,4.0,0.0,0.0,2.0,5.0,0.0,3.87,3.87,0.0,0.0,1.94,4.84,0.0
Alexander Szymanowski,Left Wing,225,28.0,43.0,5.0,0.218685626,5.0,25.0,4.0,11.2,17.2,2.0,0.09,2.0,10.0,1.6
Alexandre Coeff,Left Wing,92,2.0,3.0,0.0,0.0,3.0,2.0,0.0,1.96,2.93,0.0,0.0,2.93,1.96,0.0
Alexandre Dimitri Song-Billong,Center Defensive Midfield,2569,1463.0,1605.0,5.0,0.38566214,149.0,342.0,27.0,51.25,56.23,0.18,0.01,5.22,11.98,0.95
Alexandre Geijo Pazos,Right Center Forward,409,41.0,56.0,3.0,0.166514226,4.0,30.0,2.0,9.02,12.32,0.66,0.04,0.88,6.6,0.44
Alexandros Tziolis,Center Defensive Midfield,142,24.0,25.0,0.0,0.0,5.0,18.0,1.0,15.21,15.85,0.0,0.0,3.17,11.41,0.63
Alexis Alejandro Sánchez Sánchez,Right Wing,6203,1654.0,2121.0,118.0,18.345832547,258.0,868.0,150.0,24.0,30.77,1.71,0.27,3.74,12.59,2.18
Alexis Ruano Delgado,Left Center Back,2796,653.0,881.0,4.0,0.0978129714,77.0,145.0,8.0,21.02,28.36,0.13,0.0,2.48,4.67,0.26
Alfa Semedo Esteves,Center Defensive Midfield,93,6.0,8.0,0.0,0.0,1.0,3.0,0.0,5.81,7.74,0.0,0.0,0.97,2.9,0.0
Alfonso Pedraza Sag,Left Back,468,75.0,113.0,2.0,0.10593187300000001,15.0,104.0,3.0,14.42,21.73,0.38,0.02,2.88,20.0,0.58
Alfred John Momar N''Diaye,Left Defensive Midfield,3138,960.0,1210.0,27.0,3.038172999,179.0,689.0,30.0,27.53,34.7,0.77,0.09,5.13,19.76,0.86
Alfreð Finnbogason,Center Forward,182,10.0,12.0,1.0,0.21197687,1.0,14.0,0.0,4.95,5.93,0.49,0.1,0.49,6.92,0.0
Alhassane Bangoura,Right Wing,1753,241.0,381.0,26.0,1.2404459836,73.0,221.0,45.0,12.37,19.56,1.33,0.06,3.75,11.35,2.31
Alhassane Keita,Right Defensive Midfield,183,2.0,4.0,1.0,0.32188857,2.0,5.0,0.0,0.98,1.97,0.49,0.16,0.98,2.46,0.0
Aliaksandr Hleb,Right Wing,984,136.0,175.0,1.0,0.25909805,18.0,52.0,7.0,12.44,16.01,0.09,0.02,1.65,4.76,0.64
Alin Dorinel Toșca,Left Back,182,41.0,51.0,0.0,0.0,3.0,20.0,0.0,20.27,25.22,0.0,0.0,1.48,9.89,0.0
Allan Romeo Nyom,Right Back,915,159.0,225.0,0.0,0.0,28.0,138.0,6.0,15.64,22.13,0.0,0.0,2.75,13.57,0.59
Alphonse Areola,Goalkeeper,2907,481.0,861.0,0.0,0.0,160.0,2.0,1.0,14.89,26.66,0.0,0.0,4.95,0.06,0.03
Aly Cissokho,Left Back,182,53.0,77.0,0.0,0.0,4.0,26.0,3.0,26.21,38.08,0.0,0.0,1.98,12.86,1.48
Amankwaa Akurugu,Left Back,91,8.0,12.0,0.0,0.0,2.0,4.0,0.0,7.91,11.87,0.0,0.0,1.98,3.96,0.0
Amath Ndiaye,Left Wing,244,20.0,31.0,1.0,0.030006714,7.0,63.0,1.0,7.38,11.43,0.37,0.01,2.58,23.24,0.37
Anaitz Arbilla Zabala,Right Back,1591,670.0,866.0,12.0,0.502506223,79.0,237.0,15.0,37.9,48.99,0.68,0.03,4.47,13.41,0.85
Ander Barrenetxea Muguruza,Left Wing,421,35.0,45.0,4.0,0.256207895,7.0,40.0,4.0,7.48,9.62,0.86,0.05,1.5,8.55,0.86
