name,position,minutes_played,passes_completed,passes_total,shots,xg,ball_recoveries,pressures,dribbles_won,passes_completed_p90,passes_total_p90,shots_p90,xg_p90,ball_recoveries_p90,pressures_p90,dribbles_won_p90
Diego Forlán Corazo,Right Center Forward,715,165.0,239.0,16.0,2.920492681,16.0,68.0,10.0,20.77,30.08,2.01,0.37,2.01,8.56,1.26
Diego González Polanco,Left Center Back,184,43.0,48.0,2.0,0.31340444,4.0,16.0,0.0,21.03,23.48,0.98,0.15,1.96,7.83,0.0
Diego Ifrán Sala,Center Forward,240,15.0,25.0,2.0,0.55965833,4.0,38.0,2.0,5.62,9.38,0.75,0.21,1.5,14.25,0.75
Diego Javier Llorente Ríos,Right Center Back,3418,1438.0,1738.0,15.0,1.1379153775,196.0,502.0,30.0,37.86,45.76,0.39,0.03,5.16,13.22,0.79
Diego Lainez Leyva,Right Center Forward,91,7.0,10.0,0.0,0.0,1.0,7.0,2.0,6.92,9.89,0.0,0.0,0.99,6.92,1.98
Diego López Rodríguez,Goalkeeper,1495,253.0,426.0,0.0,0.0,67.0,5.0,0.0,15.23,25.65,0.0,0.0,4.03,0.3,0.0
Diego Mainz García,Left Center Back,814,170.0,213.0,2.0,0.276654365,19.0,69.0,1.0,18.8,23.55,0.22,0.03,2.1,7.63,0.11
Diego Mario Buonanotte Rende,Left Wing,244,38.0,49.0,3.0,0.153197707,5.0,16.0,1.0,14.02,18.07,1.11,0.06,1.84,5.9,0.37
Diego Mariño Villar,Goalkeeper,2282,613.0,890.0,0.0,0.0,142.0,3.0,1.0,24.18,35.1,0.0,0.0,5.6,0.12,0.04
Diego Perotti,Left Midfield,226,23.0,30.0,2.0,0.03183705,4.0,33.0,5.0,9.16,11.95,0.8,0.01,1.59,13.14,1.99
Diego Rico Salguero,Left Back,270,80.0,116.0,1.0,0.008090714,15.0,50.0,4.0,26.67,38.67,0.33,0.0,5.0,16.67,1.33
Diego Rivas Gutiérrez,Right Defensive Midfield,418,122.0,147.0,0.0,0.0,23.0,111.0,0.0,26.27,31.65,0.0,0.0,4.95,23.9,0.0
Diego Roberto Godín Leal,Left Center Back,4323,1212.0,1564.0,40.0,4.385206371,168.0,425.0,18.0,25.23,32.56,0.83,0.09,3.5,8.85,0.37
Diego Rodolfo Placente,Left Back,91,51.0,59.0,0.0,0.0,5.0,11.0,2.0,50.44,58.35,0.0,0.0,4.95,10.88,1.98
Diego da Silva Costa,Left Center Forward,962,166.0,236.0,12.0,1.0536907377,32.0,179.0,10.0,15.53,22.08,1.12,0.1,2.99,16.75,0.94
Diego Ángel Capel Trinidad,Left Midfield,611,61.0,90.0,6.0,0.974873291,14.0,69.0,3.0,8.99,13.26,0.88,0.14,2.06,10.16,0.44
Dimas Delgado Morgado,Left Center Midfield,91,14.0,18.0,0.0,0.0,3.0,26.0,0.0,13.85,17.8,0.0,0.0,2.97,25.71,0.0
Dimitri Foulquier,Right Back,2521,666.0,882.0,7.0,0.9573423605000001,108.0,392.0,31.0,23.78,31.49,0.25,0.03,3.86,13.99,1.11
Dimitrios Siovas,Left Center Back,627,119.0,160.0,0.0,0.0,25.0,82.0,2.0,17.08,22.97,0.0,0.0,3.59,11.77,0.29
Diogo Ferreira Salomão,Right Wing,267,28.0,40.0,1.0,0.056429744,4.0,24.0,3.0,9.44,13.48,0.34,0.02,1.35,8.09,1.01
Diogo José Rosário Gomes Figueiras,Right Back,459,146.0,206.0,3.0,0.028079793,30.0,99.0,5.0,28.63,40.39,0.59,0.01,5.88,19.41,0.98
Djené Dakonam Ortega,Right Center Back,645,109.0,144.0,2.0,0.12097498200000001,28.0,62.0,2.0,15.21,20.09,0.28,0.02,3.91,8.65,0.28
Dmytro Chygrynskiy,Left Center Back,1010,651.0,692.0,2.0,0.25396949,24.0,47.0,0.0,58.01,61.66,0.18,0.02,2.14,4.19,0.0
Domingo Cisma González,Left Back,672,192.0,265.0,1.0,0.12592292,25.0,110.0,7.0,25.71,35.49,0.13,0.02,3.35,14.73,0.94
Domingo Nagore Arbizu,Left Center Midfield,167,34.0,50.0,3.0,0.111740697,6.0,12.0,1.0,18.32,26.95,1.62,0.06,3.23,6.47,0.54
Domingos Sousa Coutinho Meneses Duarte,Right Center Back,260,63.0,71.0,0.0,0.0,7.0,15.0,0.0,21.81,24.58,0.0,0.0,2.42,5.19,0.0
Dorlan Mauricio Pabón Ríos,Left Wing,173,43.0,58.0,3.0,0.348231121,14.0,42.0,4.0,22.37,30.17,1.56,0.18,7.28,21.85,2.08
Douglas Luiz Soares de Paulo,Center Attacking Midfield,365,57.0,67.0,3.0,0.201999154,12.0,54.0,1.0,14.05,16.52,0.74,0.05,2.96,13.32,0.25
Douglas Pereira dos Santos,Right Back,303,94.0,111.0,0.0,0.0,7.0,35.0,4.0,27.92,32.97,0.0,0.0,2.08,10.4,1.19
Dudú Aouate,Goalkeeper,908,134.0,284.0,0.0,0.0,50.0,7.0,0.0,13.28,28.15,0.0,0.0,4.96,0.69,0.0
Duje Čop,Right Center Forward,2503,474.0,697.0,49.0,8.4229235944,74.0,397.0,17.0,17.04,25.06,1.76,0.3,2.66,14.27,0.61
Dídac Vilá Rosselló,Left Back,890,232.0,327.0,4.0,0.34302589,32.0,183.0,0.0,23.46,33.07,0.4,0.03,3.24,18.51,0.0
Eddy Silvestre Pascual İsrafilov,Left Defensive Midfield,638,72.0,98.0,3.0,0.153387193,15.0,70.0,0.0,10.16,13.82,0.42,0.02,2.12,9.87,0.0
Edgar Antonio Méndez Ortega,Left Wing,1772,215.0,330.0,16.0,0.7488867762,54.0,249.0,16.0,10.92,16.76,0.81,0.04,2.74,12.65,0.81
Edgar Badía Guardiola,Goalkeeper,92,30.0,38.0,0.0,0.0,3.0,0.0,0.0,29.35,37.17,0.0,0.0,2.93,0.0,0.0
Edgar Patricio De Carvalho Pacheco,Right Midfield,141,10.0,22.0,2.0,0.21119556,10.0,12.0,1.0,6.38,14.04,1.28,0.13,6.38,7.66,0.64
Edinaldo Gomes Pereira,Right Center Back,362,48.0,65.0,0.0,0.0,8.0,37.0,0.0,11.93,16.16,0.0,0.0,1.99,9.2,0.0
Edson Ramos de Silva,Right Back,92,19.0,24.0,0.0,0.0,4.0,14.0,1.0,18.59,23.48,0.0,0.0,3.91,13.7,0.98
Eduardo Antonio Salvio,Right Wing,181,11.0,16.0,0.0,0.0,4.0,19.0,0.0,5.47,7.96,0.0,0.0,1.99,9.45,0.0
Eduardo Bedia Peláez,Center Defensive Midfield,91,3.0,5.0,0.0,0.0,0.0,20.0,0.0,2.97,4.95,0.0,0.0,0.0,19.78,0.0
Eduardo César Daude Gaspar,Left Defensive Midfield,178,50.0,60.0,0.0,0.0,11.0,19.0,0.0,25.28,30.34,0.0,0.0,5.56,9.61,0.0
Eduardo Expósito Jaén,Left Defensive Midfield,174,43.0,51.0,1.0,0.030960035,8.0,32.0,2.0,22.24,26.38,0.52,0.02,4.14,16.55,1.03
Eduardo Jesús Vargas Rojas,Center Forward,93,2.0,3.0,0.0,0.0,2.0,2.0,0.0,1.94,2.9,0.0,0.0,1.94,1.94,0.0
Eduardo Moya Castillo,Right Center Back,93,10.0,15.0,0.0,0.0,1.0,3.0,1.0,9.68,14.52,0.0,0.0,0.97,2.9,0.97
Eduardo Nascimento Costa,Right Defensive Midfield,94,25.0,37.0,2.0,0.033387313,12.0,7.0,0.0,23.94,35.43,1.91,0.03,11.49,6.7,0.0
Eduardo Ramos Gómez,Right Center Midfield,90,9.0,13.0,0.0,0.0,3.0,12.0,0.0,9.0,13.0,0.0,0.0,3.0,12.0,0.0
Egor Filipenko,Left Center Back,649,132.0,179.0,8.0,0.422316535,21.0,56.0,0.0,18.31,24.82,1.11,0.06,2.91,7.77,0.0
Eiður Smári Guðjohnsen,Left Center Midfield,3983,624.0,769.0,43.0,6.027427328,92.0,242.0,40.0,14.1,17.38,0.97,0.14,2.08,5.47,0.9
Elderson Uwa Echiejile,Left Back,92,18.0,23.0,0.0,0.0,2.0,16.0,1.0,17.61,22.5,0.0,0.0,1.96,15.65,0.98
Eliaquim Mangala,Left Center Back,132,12.0,18.0,2.0,0.29289153,3.0,12.0,1.0,8.18,12.27,1.36,0.2,2.05,8.18,0.68
Elias Mendes Trindade,Left Wing,91,7.0,7.0,0.0,0.0,2.0,3.0,0.0,6.92,6.92,0.0,0.0,1.98,2.97,0.0
Eliseu Pereira dos Santos,Left Wing,606,115.0,176.0,9.0,0.31449802050000003,32.0,123.0,11.0,17.08,26.14,1.34,0.05,4.75,18.27,1.63
Elton Giovanni Machado,Left Center Midfield,93,7.0,9.0,0.0,0.0,7.0,19.0,1.0,6.77,8.71,0.0,0.0,6.77,18.39,0.97
Emanuel Cecchini,Right Defensive Midfield,92,15.0,16.0,1.0,0.024189726,2.0,8.0,1.0,14.67,15.65,0.98,0.02,1.96,7.83,0.98
Emerson Aparecido Leite de Souza Junior,Right Back,368,110.0,133.0,0.0,0.0,12.0,55.0,2.0,26.9,32.53,0.0,0.0,2.93,13.45,0.49
Emiliano Adrián Insúa Zapata,Left Back,274,100.0,120.0,3.0,0.08401393,14.0,23.0,1.0,32.85,39.42,0.99,0.03,4.6,7.55,0.33
Emiliano Buendía,Right Back,1577,326.0,396.0,14.0,0.8662671630000001,73.0,240.0,11.0,18.6,22.6,0.8,0.05,4.17,13.7,0.63
Emiliano Daniel Armenteros,Left Wing,327,50.0,77.0,3.0,0.067939902,15.0,80.0,3.0,13.76,21.19,0.83,0.02,4.13,22.02,0.83
Emiliano Daniel Velázquez Maldonado,Right Center Back,1261,294.0,442.0,10.0,1.1372937090000002,55.0,169.0,7.0,20.98,31.55,0.71,0.08,3.93,12.06,0.5
Emiliano Moretti,Left Back,339,69.0,105.0,0.0,0.0,7.0,37.0,0.0,18.32,27.88,0.0,0.0,1.86,9.82,0.0
Emilio José Viqueira Moure,Left Defensive Midfield,91,27.0,32.0,3.0,0.876203026,3.0,2.0,1.0,26.7,31.65,2.97,0.87,2.97,1.98,0.99
Emilio Nsue López,Right Wing,456,81.0,129.0,3.0,0.312988892,21.0,61.0,6.0,15.99,25.46,0.59,0.06,4.14,12.04,1.18
Emir Spahić,Left Center Back,159,44.0,55.0,0.0,0.0,7.0,37.0,2.0,24.91,31.13,0.0,0.0,3.96,20.94,1.13
Emmanuel Adebayor,Center Forward,93,5.0,9.0,0.0,0.0,0.0,4.0,0.0,4.84,8.71,0.0,0.0,0.0,3.87,0.0
Emmanuel Okyere Boateng,Center Forward,134,18.0,23.0,3.0,0.364456926,3.0,35.0,1.0,12.09,15.45,2.01,0.24,2.01,23.51,0.67
Emre Mor,Right Center Forward,151,20.0,26.0,1.0,0.04559686,4.0,20.0,2.0,11.92,15.5,0.6,0.03,2.38,11.92,1.19
Emre Çolak,Center Attacking Midfield,299,98.0,124.0,6.0,0.558109513,17.0,47.0,5.0,29.5,37.32,1.81,0.17,5.12,14.15,1.51
Eneko Bóveda Altube,Right Back,2420,825.0,1105.0,5.0,0.338055554,92.0,304.0,14.0,30.68,41.1,0.19,0.01,3.42,11.31,0.52
Eneko Capilla González,Left Wing,92,3.0,5.0,1.0,0.039933976,1.0,1.0,1.0,2.93,4.89,0.98,0.04,0.98,0.98,0.98
Enes Ünal,Right Center Forward,610,62.0,79.0,7.0,1.040392343,11.0,53.0,1.0,9.15,11.66,1.03,0.15,1.62,7.82,0.15
Enis Bardhi,Left Midfield,395,110.0,139.0,7.0,0.515017223,13.0,61.0,4.0,25.06,31.67,1.59,0.12,2.96,13.9,0.91
Enric Gallego Puigsech,Left Center Forward,258,5.0,8.0,0.0,0.0,0.0,10.0,0.0,1.74,2.79,0.0,0.0,0.0,3.49,0.0
Enrique Barja Afonso,Left Center Forward,250,21.0,35.0,3.0,0.366694747,2.0,30.0,2.0,7.56,12.6,1.08,0.13,0.72,10.8,0.72
Enrique Corrales Martín,Left Back,180,47.0,64.0,0.0,0.0,7.0,12.0,4.0,23.5,32.0,0.0,0.0,3.5,6.0,2.0
Enrique Fernando Ortiz Moruno,Right Wing,92,23.0,32.0,3.0,0.158329327,4.0,14.0,2.0,22.5,31.3,2.93,0.15,3.91,13.7,1.96
Enrique García Martínez,Left Center Forward,458,47.0,63.0,6.0,0.36221745699999996,13.0,63.0,1.0,9.24,12.38,1.18,0.07,2.55,12.38,0.2
Enrique González Casín,Center Forward,91,3.0,4.0,0.0,0.0,0.0,8.0,0.0,2.97,3.96,0.0,0.0,0.0,7.91,0.0
Enrique Mateo Montoya,Right Center Forward,182,14.0,20.0,2.0,0.06837048700000001,10.0,18.0,0.0,6.92,9.89,0.99,0.03,4.95,8.9,0.0
Enrique Pérez Muñoz,Left Midfield,185,61.0,65.0,4.0,0.331664257,13.0,38.0,6.0,29.68,31.62,1.95,0.16,6.32,18.49,2.92
Enrique Sola Clemente,Center Forward,599,36.0,61.0,5.0,0.315655403,7.0,58.0,1.0,5.41,9.17,0.75,0.05,1.05,8.71,0.15
Enrique de Lucas Martínez,Right Midfield,259,34.0,49.0,2.0,0.14398332400000002,11.0,54.0,2.0,11.81,17.03,0.69,0.05,3.82,18.76,0.69
Enzo Alan Zidane Fernández,Right Center Midfield,92,7.0,10.0,0.0,0.0,2.0,6.0,1.0,6.85,9.78,0.0,0.0,1.96,5.87,0.98
Enzo Maresca,Left Defensive Midfield,361,84.0,122.0,2.0,0.07233980400000001,18.0,84.0,1.0,20.94,30.42,0.5,0.02,4.49,20.94,0.25
Enzo Nicolás Pérez,Center Defensive Midfield,1693,654.0,758.0,6.0,0.163569556,81.0,327.0,18.0,34.77,40.3,0.32,0.01,4.31,17.38,0.96
Enzo Pablo Roco Roco,Left Center Back,3075,801.0,1004.0,12.0,1.048043029,79.0,247.0,6.0,23.44,29.39,0.35,0.03,2.31,7.23,0.18
Eric Bertrand Bailly,Right Center Back,2118,655.0,847.0,4.0,0.40905513200000004,101.0,198.0,12.0,27.83,35.99,0.17,0.02,4.29,8.41,0.51
Eric-Sylvain Bilal Abidal,Left Back,9004,5828.0,6777.0,17.0,1.2493664453,611.0,1052.0,85.0,58.25,67.74,0.17,0.01,6.11,10.52,0.85
Erick Cathriel Cabaco Almada,Right Center Back,347,54.0,71.0,2.0,0.143036613,6.0,28.0,0.0,14.01,18.41,0.52,0.04,1.56,7.26,0.0
Erik Morán Arribas,Center Defensive Midfield,127,41.0,47.0,0.0,0.0,8.0,17.0,2.0,29.06,33.31,0.0,0.0,5.67,12.05,1.42
Ermedin Demirović,Left Center Forward,93,0.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,1.94,0.0,0.0,0.0,8.71,0.0
Ernesto Galán Iñigo,Right Back,90,27.0,38.0,0.0,0.0,7.0,13.0,0.0,27.0,38.0,0.0,0.0,7.0,13.0,0.0
Ersen Martin,Left Center Forward,90,2.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0
Esteban Andrés Suárez,Goalkeeper,273,38.0,82.0,0.0,0.0,14.0,0.0,2.0,12.53,27.03,0.0,0.0,4.62,0.0,0.66
Esteban Félix Granero Molina,Right Center Midfield,2178,562.0,724.0,10.0,0.415105025,78.0,397.0,13.0,23.22,29.92,0.41,0.02,3.22,16.4,0.54
Esteban Rodrigo Burgos,Right Center Back,91,16.0,19.0,0.0,0.0,7.0,5.0,1.0,15.82,18.79,0.0,0.0,6.92,4.95,0.99
Ewerthon Henrique de Souza,Right Center Forward,426,63.0,90.0,8.0,1.044976622,13.0,40.0,3.0,13.31,19.01,1.69,0.22,2.75,8.45,0.63
Ezequiel Luna,Right Back,171,35.0,49.0,0.0,0.0,4.0,38.0,0.0,18.42,25.79,0.0,0.0,2.11,20.0,0.0
Ezequiel Marcelo Garay,Right Center Back,1000,221.0,300.0,5.0,1.906517116,26.0,80.0,0.0,19.89,27.0,0.45,0.17,2.34,7.2,0.0
Ezequiel Muñoz,Right Center Back,91,17.0,22.0,0.0,0.0,0.0,11.0,0.0,16.81,21.76,0.0,0.0,0.0,10.88,0.0
Fabian Lukas Schär,Left Center Back,182,44.0,57.0,3.0,0.76072275,6.0,27.0,2.0,21.76,28.19,1.48,0.38,2.97,13.35,0.99
Fabiano Eler dos Santos,Left Center Back,163,31.0,39.0,0.0,0.0,4.0,11.0,0.0,17.12,21.53,0.0,0.0,2.21,6.07,0.0
Fabio Cannavaro,Left Center Back,262,46.0,59.0,0.0,0.0,4.0,51.0,0.0,15.8,20.27,0.0,0.0,1.37,17.52,0.0
Fabio Celestini,Right Defensive Midfield,356,176.0,225.0,3.0,0.260150513,26.0,65.0,1.0,44.49,56.88,0.76,0.07,6.57,16.43,0.25
Fabio Coltorti,Goalkeeper,182,37.0,59.0,0.0,0.0,17.0,0.0,0.0,18.3,29.18,0.0,0.0,8.41,0.0,0.0
Fabián Ariel Orellana Valenzuela,Right Wing,4248,1550.0,2109.0,95.0,10.0693224088,277.0,604.0,122.0,32.84,44.68,2.01,0.21,5.87,12.8,2.58
Fabián Larry Estoyanoff Poggio,Right Wing,275,37.0,54.0,4.0,0.871183808,11.0,54.0,7.0,12.11,17.67,1.31,0.29,3.6,17.67,2.29
Fabián Ruiz Peña,Center Attacking Midfield,1147,264.0,324.0,8.0,0.280419377,37.0,158.0,9.0,20.71,25.42,0.63,0.02,2.9,12.4,0.71
Fabricio Coloccini,Right Back,231,51.0,69.0,2.0,0.0368352573,14.0,51.0,0.0,19.87,26.88,0.78,0.01,5.45,19.87,0.0
Fabricio Fabio Fuentes,Right Center Back,184,14.0,28.0,0.0,0.0,7.0,16.0,0.0,6.85,13.7,0.0,0.0,3.42,7.83,0.0
Fabricio Martín Agosto Ramírez,Goalkeeper,184,32.0,65.0,0.0,0.0,7.0,2.0,0.0,15.65,31.79,0.0,0.0,3.42,0.98,0.0
Facundo Sebastián Roncaglia,Right Center Back,365,119.0,151.0,3.0,0.140631737,20.0,60.0,1.0,29.34,37.23,0.74,0.03,4.93,14.79,0.25
Fausto Antonio Tienza Nuñez,Center Defensive Midfield,91,12.0,20.0,0.0,0.0,4.0,34.0,0.0,11.87,19.78,0.0,0.0,3.96,33.63,0.0
Fausto Rossi,Right Midfield,183,27.0,49.0,3.0,0.31559934,8.0,58.0,2.0,13.28,24.1,1.48,0.16,3.93,28.52,0.98
Fayçal Fajr,Right Wing,3753,1345.0,1797.0,53.0,3.1248843614,175.0,617.0,27.0,32.25,43.09,1.27,0.07,4.2,14.8,0.65
Federico Julián Fazio,Right Center Back,775,215.0,291.0,1.0,0.054777976,23.0,75.0,7.0,24.97,33.79,0.12,0.01,2.67,8.71,0.81
Federico Nicolás Cartabia,Right Wing,2373,509.0,687.0,56.0,2.2189311011,103.0,405.0,44.0,19.3,26.06,2.12,0.08,3.91,15.36,1.67
Federico Piovaccari,Left Center Forward,183,13.0,18.0,2.0,0.22940587,2.0,15.0,2.0,6.39,8.85,0.98,0.11,0.98,7.38,0.98
Federico Ricca Rostagnol,Left Back,779,261.0,385.0,2.0,0.319374878,42.0,101.0,3.0,30.15,44.48,0.23,0.04,4.85,11.67,0.35
Federico San Emeterio Díaz,Right Center Midfield,93,35.0,40.0,0.0,0.0,5.0,24.0,0.0,33.87,38.71,0.0,0.0,4.84,23.23,0.0
Federico Santiago Valverde Dipetta,Right Center Midfield,474,155.0,192.0,7.0,0.5210927949999999,16.0,84.0,2.0,29.43,36.46,1.33,0.1,3.04,15.95,0.38
Federico Vico Villegas,Right Wing,181,3.0,6.0,1.0,0.046337903,0.0,13.0,2.0,1.49,2.98,0.5,0.02,0.0,6.46,0.99
Felipe Augusto de Almeida Monteiro,Center Back,361,56.0,62.0,3.0,0.292925266,7.0,29.0,0.0,13.96,15.46,0.75,0.07,1.75,7.23,0.0
Felipe Mattioni Rohde,Right Back,92,37.0,43.0,2.0,0.0538795684,7.0,16.0,0.0,36.2,42.07,1.96,0.05,6.85,15.65,0.0
Felipe Melo de Carvalho,Left Center Midfield,246,53.0,74.0,2.0,0.09842737800000001,18.0,55.0,10.0,19.39,27.07,0.73,0.04,6.59,20.12,3.66
Felipe Salvador Caicedo Corozo,Center Forward,2814,439.0,602.0,47.0,8.061822552,52.0,455.0,43.0,14.04,19.25,1.5,0.26,1.66,14.55,1.38
Felix Dja Ettien Yohou,Right Wing,269,34.0,45.0,1.0,0.07727127,5.0,17.0,1.0,11.38,15.06,0.33,0.03,1.67,5.69,0.33
Ferland Mendy,Left Back,281,118.0,145.0,0.0,0.0,13.0,34.0,4.0,37.79,46.44,0.0,0.0,4.16,10.89,1.28
Fernando Amorebieta Mardaras,Left Center Back,801,144.0,201.0,1.0,0.048437044,19.0,89.0,4.0,16.18,22.58,0.11,0.01,2.13,10.0,0.45
Fernando Calero Villa,Left Center Back,252,91.0,107.0,0.0,0.0,10.0,34.0,1.0,32.5,38.21,0.0,0.0,3.57,12.14,0.36
Fernando Damián Tissone,Right Defensive Midfield,1207,470.0,617.0,9.0,0.2494808423,82.0,223.0,14.0,35.05,46.01,0.67,0.02,6.11,16.63,1.04
Fernando Francisco Reges,Center Defensive Midfield,367,158.0,173.0,1.0,0.08531089,14.0,77.0,2.0,38.75,42.43,0.25,0.02,3.43,18.88,0.49
Fernando José Torres Sanz,Left Center Forward,3134,318.0,493.0,69.0,8.8335299399,81.0,395.0,42.0,9.13,14.16,1.98,0.25,2.33,11.34,1.21
Fernando Llorente Torres,Center Forward,2720,374.0,576.0,47.0,7.072445342,52.0,337.0,16.0,12.38,19.06,1.56,0.23,1.72,11.15,0.53
Fernando Martín Forestieri,Center Attacking Midfield,184,8.0,9.0,0.0,0.0,5.0,32.0,0.0,3.91,4.4,0.0,0.0,2.45,15.65,0.0
Fernando Miguel Fernández Escribano,Right Wing,380,56.0,86.0,3.0,0.3786254196,11.0,58.0,1.0,13.26,20.37,0.71,0.09,2.61,13.74,0.24
Fernando Morientes Sánchez,Right Center Forward,106,21.0,32.0,2.0,0.34835335999999995,4.0,29.0,2.0,17.83,27.17,1.7,0.3,3.4,24.62,1.7
Fernando Navarro i Corbacho,Left Back,4340,1613.0,2165.0,4.0,0.062358993,178.0,611.0,30.0,33.45,44.9,0.08,0.0,3.69,12.67,0.62
Fernando Niño Rodriguez,Center Forward,93,5.0,7.0,0.0,0.0,0.0,1.0,0.0,4.84,6.77,0.0,0.0,0.0,0.97,0.0
Fernando Pacheco Flores,Goalkeeper,821,141.0,243.0,0.0,0.0,40.0,1.0,0.0,15.46,26.64,0.0,0.0,4.38,0.11,0.0
Fernando Rubén Gago,Left Defensive Midfield,548,227.0,285.0,4.0,0.082371059,23.0,194.0,6.0,37.28,46.81,0.66,0.01,3.78,31.86,0.99
Fernando Sanz Durán,Left Center Back,177,21.0,27.0,0.0,0.0,5.0,6.0,0.0,10.68,13.73,0.0,0.0,2.54,3.05,0.0
Fernando Soriano Marco,Center Attacking Midfield,632,118.0,172.0,6.0,0.4166992134,16.0,147.0,1.0,16.8,24.49,0.85,0.06,2.28,20.93,0.14
Fernando Varela Ramos,Right Wing,359,77.0,112.0,6.0,0.1695537253,14.0,76.0,12.0,19.3,28.08,1.5,0.04,3.51,19.05,3.01
Fernando Vega Torres,Left Back,179,44.0,68.0,0.0,0.0,4.0,22.0,0.0,22.12,34.19,0.0,0.0,2.01,11.06,0.0
Ferrán Corominas Telechea,Left Wing,850,70.0,103.0,8.0,1.1265120935,27.0,84.0,9.0,7.41,10.91,0.85,0.12,2.86,8.89,0.95
Ferrán Torres García,Right Midfield,182,29.0,41.0,0.0,0.0,7.0,47.0,1.0,14.34,20.27,0.0,0.0,3.46,23.24,0.49
Fidel Chaves de la Torre,Left Wing,274,41.0,61.0,0.0,0.0,5.0,14.0,4.0,13.47,20.04,0.0,0.0,1.64,4.6,1.31
Filip Bradarić,Center Defensive Midfield,93,16.0,20.0,0.0,0.0,1.0,8.0,0.0,15.48,19.35,0.0,0.0,0.97,7.74,0.0
Filipe Augusto Carvalho Souza,Left Center Midfield,92,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.98,0.0,0.0,0.0,1.96,0.0
Filipe Luís Kasmirski,Left Back,4042,2121.0,2733.0,13.0,0.5985525043,215.0,802.0,89.0,47.23,60.85,0.29,0.01,4.79,17.86,1.98
Florent Sinama-Pongolle,Left Center Forward,595,83.0,109.0,6.0,1.173331121,19.0,68.0,3.0,12.55,16.49,0.91,0.18,2.87,10.29,0.45
Florian Grégoire Claude Lejeune,Left Center Back,367,55.0,79.0,3.0,0.131291997,11.0,46.0,0.0,13.49,19.37,0.74,0.03,2.7,11.28,0.0
Florin Andone,Left Center Forward,271,27.0,34.0,8.0,0.729928465,3.0,49.0,3.0,8.97,11.29,2.66,0.24,1.0,16.27,1.0
Flávio Nunes Ferreira,Left Center Back,92,14.0,17.0,0.0,0.0,0.0,3.0,0.0,13.7,16.63,0.0,0.0,0.0,2.93,0.0
Foued Kadir,Right Wing,601,215.0,287.0,10.0,0.35851372800000003,36.0,91.0,13.0,32.2,42.98,1.5,0.05,5.39,13.63,1.95
Francesc Aday Benítez Caraballo,Left Wing Back,205,72.0,95.0,1.0,0.028683474,10.0,23.0,3.0,31.61,41.71,0.44,0.01,4.39,10.1,1.32
Francesc Arnau,Goalkeeper,182,20.0,54.0,0.0,0.0,11.0,0.0,0.0,9.89,26.7,0.0,0.0,5.44,0.0,0.0
Francesc Fàbregas i Soler,Left Center Midfield,6673,4612.0,5345.0,113.0,13.253102675,296.0,1065.0,110.0,62.2,72.09,1.52,0.18,3.99,14.36,1.48
Francis Joseph Coquelin,Right Center Midfield,388,93.0,109.0,2.0,0.05584349,19.0,66.0,1.0,21.57,25.28,0.46,0.01,4.41,15.31,0.23
Francisco Alcácer García,Center Forward,6020,695.0,922.0,99.0,21.550418689,105.0,631.0,20.0,10.39,13.78,1.48,0.32,1.57,9.43,0.3
Francisco Andrés Silva Gajardo,Left Center Midfield,183,55.0,70.0,1.0,0.011428565,11.0,63.0,2.0,27.05,34.43,0.49,0.01,5.41,30.98,0.98
Francisco António Machado Mota de Castro Trincão,Right Wing,2279,288.0,347.0,20.0,2.391296918,29.0,100.0,18.0,11.37,13.7,0.79,0.09,1.15,3.95,0.71
Francisco Borja Enrique Ayesa,Left Center Back,90,5.0,12.0,0.0,0.0,5.0,26.0,0.0,5.0,12.0,0.0,0.0,5.0,26.0,0.0
Francisco Casilla Cortés,Goalkeeper,887,124.0,246.0,0.0,0.0,42.0,3.0,0.0,12.58,24.96,0.0,0.0,4.26,0.3,0.0
Francisco Femenía Far,Right Wing Back,320,68.0,84.0,3.0,0.260873266,11.0,59.0,1.0,19.12,23.62,0.84,0.07,3.09,16.59,0.28
Francisco Guillermo Ochoa Magaña,Goalkeeper,1076,179.0,324.0,0.0,0.0,60.0,2.0,0.0,14.97,27.1,0.0,0.0,5.02,0.17,0.0
Francisco Gámez López,Right Back,184,53.0,62.0,0.0,0.0,6.0,25.0,2.0,25.92,30.33,0.0,0.0,2.93,12.23,0.98
Francisco Javier Casquero Paredes,Center Attacking Midfield,849,188.0,246.0,5.0,0.941846267,33.0,148.0,5.0,19.93,26.08,0.53,0.1,3.5,15.69,0.53
Francisco Javier Chica Torres,Right Back,779,222.0,329.0,0.0,0.0,36.0,123.0,10.0,25.65,38.01,0.0,0.0,4.16,14.21,1.16
Francisco Javier Farinós Zapata,Right Center Midfield,252,70.0,97.0,0.0,0.0,13.0,38.0,1.0,25.0,34.64,0.0,0.0,4.64,13.57,0.36
Francisco Javier García Fernández,Right Center Back,442,67.0,90.0,2.0,0.052341946,15.0,53.0,0.0,13.64,18.33,0.41,0.01,3.05,10.79,0.0
Francisco Javier García Guerrero,Right Center Forward,237,29.0,45.0,0.0,0.0,3.0,30.0,2.0,11.01,17.09,0.0,0.0,1.14,11.39,0.76
